feature_number,feature_name,importance
16,left_lung_largest_patch_area,0.4605870426628236
43,right_lung_lbp_entropy,0.2967017310569181
33,right_lung_consolidation_ratio,0.15574492692599895
25,left_lung_total_opacity_ratio,0.05951228915058341
26,left_lung_upper_mean,0.020386118748143105
5,left_lung_base_std_intensity,0.007067891455532036
11,left_lung_glcm_correlation,9.08583004878132e-16
1,left_heart_border_edge_density,0.0
2,left_heart_border_intensity_diff,0.0
3,left_lung_base_angle,0.0
4,left_lung_base_mean_intensity,0.0
6,left_lung_bronchogram_score,0.0
7,left_lung_consolidation_ratio,0.0
8,left_lung_dark_line_density,0.0
9,left_lung_edge_density,0.0
10,left_lung_glcm_contrast,0.0
12,left_lung_glcm_energy,0.0
13,left_lung_glcm_homogeneity,0.0
14,left_lung_intensity_kurtosis,0.0
15,left_lung_intensity_skew,0.0
17,left_lung_lbp_entropy,0.0
18,left_lung_lower_mean,0.0
19,left_lung_max_intensity,0.0
20,left_lung_mean_intensity,0.0
21,left_lung_mean_patch_area,0.0
22,left_lung_middle_mean,0.0
23,left_lung_num_patches,0.0
24,left_lung_std_intensity,0.0
27,right_heart_border_edge_density,0.0
28,right_heart_border_intensity_diff,0.0
29,right_lung_base_angle,0.0
30,right_lung_base_mean_intensity,0.0
31,right_lung_base_std_intensity,0.0
32,right_lung_bronchogram_score,0.0
34,right_lung_dark_line_density,0.0
35,right_lung_edge_density,0.0
36,right_lung_glcm_contrast,0.0
37,right_lung_glcm_correlation,0.0
38,right_lung_glcm_energy,0.0
39,right_lung_glcm_homogeneity,0.0
40,right_lung_intensity_kurtosis,0.0
41,right_lung_intensity_skew,0.0
42,right_lung_largest_patch_area,0.0
44,right_lung_lower_mean,0.0
45,right_lung_max_intensity,0.0
46,right_lung_mean_intensity,0.0
47,right_lung_mean_patch_area,0.0
48,right_lung_middle_mean,0.0
49,right_lung_num_patches,0.0
50,right_lung_std_intensity,0.0
51,right_lung_total_opacity_ratio,0.0
52,right_lung_upper_mean,0.0
